bench,status,equiv_pass,timeout_hit,before_area,after_area,delta_area,pct_area,before_delay,after_delay,delta_delay,pct_delay,before_nd,after_nd,delta_nd,pct_nd,before_lev,after_lev,delta_lev,pct_lev,before_gate_lines,after_gate_lines,delta_gate_lines,pct_gate_lines,baseline_blif,optimized_blif,baseline_v,optimized_v,baseline_log,optimized_log,cec_log
ex200_015,PASS,1,0,3434.12,3427.74,-6.38,-0.19,282.96,282.96,0.00,0.00,3465,3455,-10.00,-0.29,12,12,0.00,0.00,3465,3455,-10.00,-0.29,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex200_015/ex200_015_cec.log
ex201_013,PASS,1,0,1225.75,1212.93,-12.82,-1.05,252.24,252.24,0.00,0.00,1268,1255,-13.00,-1.03,11,11,0.00,0.00,1268,1255,-13.00,-1.03,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex201_013/ex201_013_cec.log
ex202_014,PASS,1,0,3437.52,3419.94,-17.58,-0.51,278.29,278.29,0.00,0.00,3482,3457,-25.00,-0.72,12,12,0.00,0.00,3482,3457,-25.00,-0.72,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex202_014/ex202_014_cec.log
ex203_017,PASS,1,0,4562.40,4536.28,-26.12,-0.57,326.99,326.99,0.00,0.00,4650,4611,-39.00,-0.84,13,13,0.00,0.00,4650,4611,-39.00,-0.84,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex203_017/ex203_017_cec.log
ex204_014,PASS,1,0,1573.76,1563.48,-10.28,-0.65,275.28,275.28,0.00,0.00,1603,1591,-12.00,-0.75,11,11,0.00,0.00,1603,1591,-12.00,-0.75,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex204_014/ex204_014_cec.log
ex205_017,PASS,1,0,4738.08,4720.82,-17.26,-0.36,329.33,329.33,0.00,0.00,4807,4771,-36.00,-0.75,14,14,0.00,0.00,4807,4771,-36.00,-0.75,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex205_017/ex205_017_cec.log
ex206_020,PASS,1,1,47438.35,47271.22,-167.13,-0.35,382.11,382.11,0.00,0.00,47590,47440,-150.00,-0.32,15,16,1.00,6.67,47590,47440,-150.00,-0.32,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex206_020/ex206_020_cec.log
ex207_019,PASS,1,1,70048.87,69962.27,-86.60,-0.12,374.11,374.11,0.00,0.00,70652,70532,-120.00,-0.17,15,15,0.00,0.00,70652,70532,-120.00,-0.17,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex207_019/ex207_019_cec.log
ex208_013,PASS,1,0,1982.18,1965.71,-16.47,-0.83,264.27,264.27,0.00,0.00,2029,1996,-33.00,-1.63,11,11,0.00,0.00,2029,1996,-33.00,-1.63,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex208_013/ex208_013_cec.log
ex209_012,PASS,1,0,509.19,500.93,-8.26,-1.62,237.92,237.92,0.00,0.00,523,516,-7.00,-1.34,9,9,0.00,0.00,523,516,-7.00,-1.34,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_baseline_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_optimized_map.blif,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_baseline_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_optimized_map.v,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_baseline.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_optimized.log,/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_iwls26_model_equiv_tunedv1_20260415_214005/ex209_012/ex209_012_cec.log
