objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
25,NODE,n25,1,pi06,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
26,NODE,n26,1,pi04,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
27,NODE,n27,1,pi05,,4,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
28,NODE,n28,2,n26,n27,1,2.000000,5.000000,3.000000,2,1.00,AND2_X1,0.700000,3.000000,26,27
29,NODE,n29,2,n25,n28,4,3.000000,6.000000,3.000000,3,1.00,AND2_X1,0.700000,3.000000,25,28
30,NODE,n30,1,pi02,,8,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.900000,1.000000,3,-1
31,NODE,n31,1,pi03,,7,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.800000,2.000000,4,-1
32,NODE,n32,2,n30,n31,2,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.700000,3.000000,30,31
33,NODE,n33,1,n32,,1,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.700000,3.000000,32,-1
34,NODE,n34,2,n29,n33,3,4.000000,7.000000,3.000000,4,1.00,NAND2_X1,0.700000,3.000000,29,33
35,NODE,n35,1,n34,,5,5.000000,8.000000,3.000000,5,1.00,INV_X1,0.700000,3.000000,34,-1
36,NODE,n36,1,pi00,,10,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.900000,1.000000,1,-1
37,NODE,n37,2,n36,pi01,3,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.600000,4.000000,36,2
38,NODE,n38,1,n37,,1,3.000000,7.000000,4.000000,3,1.00,INV_X1,0.600000,4.000000,37,-1
39,NODE,n39,1,pi11,,8,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.800000,2.000000,12,-1
40,NODE,n40,2,pi03,n39,4,2.000000,4.000000,2.000000,2,1.00,NAND2_X1,0.800000,2.000000,4,39
