objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi05,,130,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
34,NODE,n34,2,pi06,pi08,2,1.000000,3.000000,2.000000,1,1.00,NAND2_X1,0.939394,2.000000,7,9
35,NODE,n35,1,n34,,5,2.000000,5.000000,3.000000,2,1.00,INV_X1,0.909091,3.000000,34,-1
36,NODE,n36,2,n33,n35,1,3.000000,29.000000,26.000000,3,1.00,NAND2_X1,0.212121,26.000000,33,35
37,NODE,n37,1,pi06,,107,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
38,NODE,n38,1,pi08,,93,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
39,NODE,n39,2,n37,n38,2,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.969697,1.000000,37,38
40,NODE,n40,1,n39,,4,3.000000,6.000000,3.000000,3,1.00,INV_X1,0.909091,3.000000,39,-1
41,NODE,n41,2,pi05,n40,1,4.000000,29.000000,25.000000,4,1.00,NAND2_X1,0.242424,25.000000,6,40
42,NODE,n42,2,n36,n41,1,5.000000,30.000000,25.000000,5,1.00,NAND2_X1,0.242424,25.000000,36,41
43,NODE,n43,1,pi12,,31,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.939394,2.000000,13,-1
44,NODE,n44,2,n43,pi13,2,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.909091,3.000000,43,14
45,NODE,n45,1,pi13,,41,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.969697,1.000000,14,-1
46,NODE,n46,2,pi12,n45,3,2.000000,5.000000,3.000000,2,1.00,NAND2_X1,0.909091,3.000000,13,45
47,NODE,n47,2,n44,n46,23,3.000000,6.000000,3.000000,3,1.00,NAND2_X1,0.909091,3.000000,44,46
48,NODE,n48,1,pi04,,130,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
49,NODE,n49,1,pi02,,176,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
50,NODE,n50,2,pi03,pi07,3,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.909091,3.000000,4,8
51,NODE,n51,1,n50,,4,2.000000,11.000000,9.000000,2,1.00,INV_X1,0.727273,9.000000,50,-1
52,NODE,n52,2,pi01,n51,1,3.000000,15.000000,12.000000,3,1.00,NAND2_X1,0.636364,12.000000,2,51
53,NODE,n53,1,pi01,,164,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
54,NODE,n54,1,pi03,,157,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,4,-1
55,NODE,n55,1,pi07,,103,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
56,NODE,n56,2,n54,n55,3,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.969697,1.000000,54,55
57,NODE,n57,1,n56,,6,3.000000,4.000000,1.000000,3,1.00,INV_X1,0.969697,1.000000,56,-1
58,NODE,n58,2,n53,n57,2,4.000000,15.000000,11.000000,4,1.00,NAND2_X1,0.666667,11.000000,53,57
59,NODE,n59,2,n52,n58,1,5.000000,16.000000,11.000000,5,1.00,NAND2_X1,0.666667,11.000000,52,58
