objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
33,NODE,n33,1,pi12,,35,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,13,-1
34,NODE,n34,1,pi13,,40,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
35,NODE,n35,2,n34,pi14,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,34,15
36,NODE,n36,1,n35,,13,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,35,-1
37,NODE,n37,2,n33,n36,3,4.000000,5.000000,1.000000,4,1.00,NAND2_X1,0.950000,1.000000,33,36
38,NODE,n38,1,pi14,,30,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,15,-1
39,NODE,n39,2,pi13,n38,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,14,38
40,NODE,n40,1,n39,,19,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,39,-1
41,NODE,n41,2,pi12,n40,4,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,13,40
42,NODE,n42,2,n37,n41,25,5.000000,6.000000,1.000000,5,1.00,NAND2_X1,0.950000,1.000000,37,41
43,NODE,n43,1,pi01,,80,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,2,-1
44,NODE,n44,2,pi05,pi06,2,1.000000,4.000000,3.000000,1,1.00,NAND2_X1,0.850000,3.000000,6,7
45,NODE,n45,1,n44,,13,2.000000,5.000000,3.000000,2,1.00,INV_X1,0.850000,3.000000,44,-1
46,NODE,n46,2,n43,n45,1,3.000000,15.000000,12.000000,3,1.00,NAND2_X1,0.400000,12.000000,43,45
47,NODE,n47,1,pi05,,65,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
48,NODE,n48,1,pi06,,82,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
49,NODE,n49,2,n47,n48,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,47,48
50,NODE,n50,1,n49,,12,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,49,-1
51,NODE,n51,2,pi01,n50,1,4.000000,15.000000,11.000000,4,1.00,NAND2_X1,0.450000,11.000000,2,50
52,NODE,n52,2,n46,n51,1,5.000000,16.000000,11.000000,5,1.00,NAND2_X1,0.450000,11.000000,46,51
53,NODE,n53,1,pi00,,76,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.900000,2.000000,1,-1
54,NODE,n54,1,pi02,,75,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,3,-1
