objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
59,NODE,n59,1,G33,,13,1.000000,3.000000,2.000000,1,1.00,INV_X1,0.916667,2.000000,3,-1
60,NODE,n60,1,G23,,4,1.000000,8.000000,7.000000,1,1.00,INV_X1,0.708333,7.000000,1,-1
61,NODE,n61,2,n60,G24,2,2.000000,18.000000,16.000000,2,1.00,NAND2_X1,0.333333,16.000000,60,2
62,NODE,n62,2,n59,n61,2,3.000000,19.000000,16.000000,3,1.00,AND2_X1,0.333333,16.000000,59,61
63,NODE,n63,1,G31,,16,1.000000,14.000000,13.000000,1,1.00,INV_X1,0.458333,13.000000,4,-1
64,NODE,n64,1,G30,,2,1.000000,18.000000,17.000000,1,1.00,INV_X1,0.291667,17.000000,5,-1
65,NODE,n65,2,n63,n64,1,2.000000,19.000000,17.000000,2,1.00,AND2_X1,0.291667,17.000000,63,64
66,NODE,n66,2,n62,n65,1,4.000000,20.000000,16.000000,4,1.00,NAND2_X1,0.333333,16.000000,62,65
67,NODE,n67,1,G32,,2,1.000000,17.000000,16.000000,1,1.00,INV_X1,0.333333,16.000000,6,-1
68,NODE,n68,2,n59,n67,7,2.000000,18.000000,16.000000,2,1.00,NAND2_X1,0.333333,16.000000,59,67
69,NODE,n69,1,n68,,1,3.000000,19.000000,16.000000,3,1.00,INV_X1,0.333333,16.000000,68,-1
70,NODE,n70,2,n61,n69,2,4.000000,20.000000,16.000000,4,1.00,NAND2_X1,0.333333,16.000000,61,69
71,NODE,n71,2,n66,n70,1,5.000000,21.000000,16.000000,5,1.00,NAND2_X1,0.333333,16.000000,66,70
72,NODE,n72,1,G28,,1,1.000000,18.000000,17.000000,1,1.00,INV_X1,0.291667,17.000000,14,-1
73,NODE,n73,1,G3,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
74,NODE,n74,1,G6,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
75,NODE,n75,2,G8,n74,1,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.833333,4.000000,7,74
76,NODE,n76,1,G8,,4,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.833333,4.000000,7,-1
77,NODE,n77,2,n76,G6,1,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.833333,4.000000,76,8
78,NODE,n78,2,n75,n77,2,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.833333,4.000000,75,77
79,NODE,n79,2,n73,n78,1,4.000000,9.000000,5.000000,4,1.00,NAND2_X1,0.791667,5.000000,73,78
80,NODE,n80,1,n78,,1,4.000000,8.000000,4.000000,4,1.00,INV_X1,0.833333,4.000000,78,-1
81,NODE,n81,2,G3,n80,1,5.000000,9.000000,4.000000,5,1.00,NAND2_X1,0.833333,4.000000,9,80
82,NODE,n82,2,n79,n81,2,6.000000,10.000000,4.000000,6,1.00,NAND2_X1,0.833333,4.000000,79,81
83,NODE,n83,1,G12,,3,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.958333,1.000000,12,-1
84,NODE,n84,1,G10,,4,1.000000,4.000000,3.000000,1,1.00,INV_X1,0.875000,3.000000,11,-1
85,NODE,n85,2,G15,n84,1,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.833333,4.000000,10,84
86,NODE,n86,1,G15,,4,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
87,NODE,n87,2,n86,G10,1,2.000000,6.000000,4.000000,2,1.00,NAND2_X1,0.833333,4.000000,86,11
88,NODE,n88,2,n85,n87,2,3.000000,7.000000,4.000000,3,1.00,NAND2_X1,0.833333,4.000000,85,87
89,NODE,n89,2,n83,n88,1,4.000000,9.000000,5.000000,4,1.00,NAND2_X1,0.791667,5.000000,83,88
90,NODE,n90,1,n88,,1,4.000000,8.000000,4.000000,4,1.00,INV_X1,0.833333,4.000000,88,-1
91,NODE,n91,2,G12,n90,1,5.000000,9.000000,4.000000,5,1.00,NAND2_X1,0.833333,4.000000,12,90
92,NODE,n92,2,n89,n91,2,6.000000,10.000000,4.000000,6,1.00,NAND2_X1,0.833333,4.000000,89,91
93,NODE,n93,1,n92,,1,7.000000,11.000000,4.000000,7,1.00,INV_X1,0.833333,4.000000,92,-1
94,NODE,n94,2,n82,n93,1,8.000000,12.000000,4.000000,8,1.00,NAND2_X1,0.833333,4.000000,82,93
95,NODE,n95,1,n82,,1,7.000000,11.000000,4.000000,7,1.00,INV_X1,0.833333,4.000000,82,-1
96,NODE,n96,2,n95,n92,1,8.000000,12.000000,4.000000,8,1.00,NAND2_X1,0.833333,4.000000,95,92
97,NODE,n97,2,n94,n96,2,9.000000,13.000000,4.000000,9,1.00,NAND2_X1,0.833333,4.000000,94,96
98,NODE,n98,2,n60,G19,1,2.000000,12.000000,10.000000,2,1.00,AND2_X1,0.583333,10.000000,60,13
99,NODE,n99,2,n59,n98,2,3.000000,13.000000,10.000000,3,1.00,NAND2_X1,0.583333,10.000000,59,98
100,NODE,n100,2,n97,n99,1,10.000000,15.000000,5.000000,10,1.00,NAND2_X1,0.791667,5.000000,97,99
101,NODE,n101,1,n97,,1,10.000000,14.000000,4.000000,10,1.00,INV_X1,0.833333,4.000000,97,-1
102,NODE,n102,1,n99,,1,4.000000,14.000000,10.000000,4,1.00,INV_X1,0.583333,10.000000,99,-1
103,NODE,n103,2,n101,n102,1,11.000000,15.000000,4.000000,11,1.00,NAND2_X1,0.833333,4.000000,101,102
104,NODE,n104,2,n100,n103,2,12.000000,16.000000,4.000000,12,1.00,NAND2_X1,0.833333,4.000000,100,103
