group,bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,alpha_low,alpha_mid,alpha_high,k,opt_low,opt_high,w_i,w_p,w_f,w_g,phyread_args,phyopt_args,log_file
B,c1908,B_base,PASS,209.08,13.00,176.36,11.00,18,72,80.0,0.0,20.0,34,3,18,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c1908/c1908_B_base.log
B,c1908,B_fast_k30,PASS,209.08,13.00,181.15,11.00,16,57,80.0,0.0,40.0,24,0,17,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c1908/c1908_B_fast_k30.log
B,c1908,B_fast_k25,PASS,209.08,13.00,184.60,11.00,15,48,80.0,0.0,0.0,24,0,13,0.20,0.50,0.80,25,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 25 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c1908/c1908_B_fast_k25.log
B,c1908,B_balanced_fast,PASS,209.08,13.00,183.54,11.00,16,55,80.0,0.0,40.0,26,0,14,0.30,0.50,0.70,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c1908/c1908_B_balanced_fast.log
B,c432,B_base,PASS,138.85,14.00,98.42,13.00,17,79,40.0,40.0,40.0,24,10,20,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c432/c432_B_base.log
B,c432,B_fast_k30,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c432/c432_B_fast_k30.log
B,c432,B_fast_k25,PASS,138.85,14.00,102.68,14.00,10,61,40.0,20.0,20.0,10,6,22,0.20,0.50,0.80,25,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 25 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c432/c432_B_fast_k25.log
B,c432,B_balanced_fast,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,0.30,0.50,0.70,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c432/c432_B_balanced_fast.log
B,c499,B_base,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c499/c499_B_base.log
B,c499,B_fast_k30,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/B/c499/c499_B_fast_k30.log
