objId,type,node_name,fanin_count,fanin0_name,fanin1_name,fanout,arrival,required,slack,level,area,gate_name,criticality,opt_potential,fanin0_objId,fanin1_objId
222,NODE,n222,2,G7,G121,2,1.000000,1.000000,0.000000,1,1.00,NAND2_X1,1.000000,0.000000,1,2
223,NODE,n223,1,n222,,2,2.000000,2.000000,0.000000,2,1.00,INV_X1,1.000000,0.000000,222,-1
224,NODE,n224,2,G119,n223,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,3,223
225,NODE,n225,2,G147,n223,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,4,223
226,NODE,n226,2,G53,G86,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,5,6
227,NODE,n227,2,G43,G96,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,7,8
228,NODE,n228,2,n226,n227,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,226,227
229,NODE,n229,1,n228,,1,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,228,-1
230,NODE,n230,2,G32,G76,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,9,10
231,NODE,n231,2,G64,G106,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,11,12
232,NODE,n232,2,n230,n231,2,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,230,231
233,NODE,n233,1,n232,,1,3.000000,3.000000,0.000000,3,1.00,INV_X1,1.000000,0.000000,232,-1
234,NODE,n234,2,n229,n233,2,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,229,233
235,NODE,n235,2,G147,n232,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,4,232
236,NODE,n236,2,G119,n228,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,3,228
237,NODE,n237,2,n235,n236,2,4.000000,4.000000,0.000000,4,1.00,NAND2_X1,1.000000,0.000000,235,236
238,NODE,n238,1,G146,,18,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.933333,1.000000,13,-1
239,NODE,n239,1,G145,,18,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,14,-1
240,NODE,n240,2,n239,G89,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,15
241,NODE,n241,2,n238,n240,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,238,240
242,NODE,n242,2,G145,G99,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,16
243,NODE,n243,2,n238,n242,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,238,242
244,NODE,n244,2,n241,n243,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,241,243
245,NODE,n245,2,n239,G79,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,17
246,NODE,n246,2,G146,n245,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,13,245
247,NODE,n247,2,G145,G109,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,18
248,NODE,n248,2,G146,n247,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,13,247
249,NODE,n249,2,n246,n248,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,246,248
250,NODE,n250,2,n244,n249,3,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,244,249
251,NODE,n251,1,n250,,4,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,250,-1
252,NODE,n252,1,G115,,4,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,19,-1
253,NODE,n253,1,G124,,2,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,20,-1
254,NODE,n254,1,G137,,3,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,21,-1
255,NODE,n255,1,G32,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,9,-1
256,NODE,n256,1,G106,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,12,-1
257,NODE,n257,1,G64,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,11,-1
258,NODE,n258,1,G76,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,10,-1
259,NODE,n259,1,G53,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,5,-1
260,NODE,n260,1,G96,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,8,-1
261,NODE,n261,1,G43,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,7,-1
262,NODE,n262,1,G86,,1,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,6,-1
263,NODE,n263,2,G139,G140,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,22,23
264,NODE,n264,2,G141,G142,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,24,25
265,NODE,n265,2,n263,n264,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,263,264
266,NODE,n266,2,G11,G2,1,1.000000,1.000000,0.000000,1,1.00,AND2_X1,1.000000,0.000000,26,27
267,NODE,n267,2,G121,n266,1,2.000000,2.000000,0.000000,2,1.00,NAND2_X1,1.000000,0.000000,2,266
268,NODE,n268,2,n252,G74,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,252,28
269,NODE,n269,2,n239,G88,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,29
270,NODE,n270,2,n238,n269,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,238,269
271,NODE,n271,2,G145,G98,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,30
272,NODE,n272,2,n238,n271,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,238,271
273,NODE,n273,2,n270,n272,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,270,272
274,NODE,n274,2,n239,G78,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,31
275,NODE,n275,2,G146,n274,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,13,274
276,NODE,n276,2,G145,G108,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,32
277,NODE,n277,2,G146,n276,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,13,276
278,NODE,n278,2,n275,n277,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,275,277
279,NODE,n279,2,n273,n278,3,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,273,278
280,NODE,n280,1,n279,,2,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,279,-1
281,NODE,n281,2,n239,G90,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,33
282,NODE,n282,2,n238,n281,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,238,281
283,NODE,n283,2,G145,G100,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,34
284,NODE,n284,2,n238,n283,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,238,283
285,NODE,n285,2,n282,n284,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,282,284
286,NODE,n286,2,n239,G80,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,239,35
287,NODE,n287,2,G146,n286,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,13,286
288,NODE,n288,2,G145,G110,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,14,36
289,NODE,n289,2,G146,n288,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,13,288
290,NODE,n290,2,n287,n289,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,287,289
291,NODE,n291,2,n285,n290,4,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,285,290
292,NODE,n292,1,n291,,2,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,291,-1
293,NODE,n293,1,G120,,20,1.000000,2.000000,1.000000,1,1.00,INV_X1,0.933333,1.000000,37,-1
294,NODE,n294,1,G117,,20,1.000000,1.000000,0.000000,1,1.00,INV_X1,1.000000,0.000000,38,-1
295,NODE,n295,2,n294,G57,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,39
296,NODE,n296,2,n293,n295,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,295
297,NODE,n297,2,G117,G46,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,40
298,NODE,n298,2,n293,n297,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,297
299,NODE,n299,2,n296,n298,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,296,298
300,NODE,n300,2,n294,G36,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,41
301,NODE,n301,2,G120,n300,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,300
302,NODE,n302,2,G117,G68,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,42
303,NODE,n303,2,G120,n302,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,302
304,NODE,n304,2,n301,n303,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,301,303
305,NODE,n305,2,n299,n304,4,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,299,304
306,NODE,n306,1,n305,,4,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,305,-1
307,NODE,n307,2,n294,G58,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,43
308,NODE,n308,2,n293,n307,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,307
309,NODE,n309,2,G117,G47,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,44
310,NODE,n310,2,n293,n309,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,309
311,NODE,n311,2,n308,n310,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,308,310
312,NODE,n312,2,n294,G37,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,45
313,NODE,n313,2,G120,n312,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,312
314,NODE,n314,2,G117,G69,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,46
315,NODE,n315,2,G120,n314,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,314
316,NODE,n316,2,n313,n315,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,313,315
317,NODE,n317,2,n311,n316,5,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,311,316
318,NODE,n318,1,n317,,4,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,317,-1
319,NODE,n319,2,n294,G59,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,47
320,NODE,n320,2,n293,n319,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,319
321,NODE,n321,2,G117,G48,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,48
322,NODE,n322,2,n293,n321,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,321
323,NODE,n323,2,n320,n322,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,320,322
324,NODE,n324,2,n294,G38,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,49
325,NODE,n325,2,G120,n324,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,324
326,NODE,n326,2,G117,G70,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,50
327,NODE,n327,2,G120,n326,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,326
328,NODE,n328,2,n325,n327,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,325,327
329,NODE,n329,2,n323,n328,6,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,323,328
330,NODE,n330,1,n329,,4,6.000000,6.000000,0.000000,6,1.00,INV_X1,1.000000,0.000000,329,-1
331,NODE,n331,2,n294,G52,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,52
332,NODE,n332,2,n293,n331,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,331
333,NODE,n333,2,G117,G42,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,53
334,NODE,n334,2,n293,n333,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,333
335,NODE,n335,2,n332,n334,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,332,334
336,NODE,n336,2,n294,G31,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,54
337,NODE,n337,2,G120,n336,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,336
338,NODE,n338,2,G117,G63,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,55
339,NODE,n339,2,G120,n338,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,338
340,NODE,n340,2,n337,n339,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,337,339
341,NODE,n341,2,n335,n340,6,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,335,340
342,NODE,n342,2,G122,n341,1,6.000000,6.000000,0.000000,6,1.00,NAND2_X1,1.000000,0.000000,51,341
343,NODE,n343,2,G122,n342,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,51,342
344,NODE,n344,1,n237,,3,5.000000,5.000000,0.000000,5,1.00,INV_X1,1.000000,0.000000,237,-1
345,NODE,n345,2,G28,n344,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,56,344
346,NODE,n346,1,G121,,1,1.000000,5.000000,4.000000,1,1.00,INV_X1,0.733333,4.000000,2,-1
347,NODE,n347,2,n346,G116,2,2.000000,6.000000,4.000000,2,1.00,AND2_X1,0.733333,4.000000,346,57
348,NODE,n348,2,n345,n347,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,345,347
349,NODE,n349,2,G1,G3,1,1.000000,5.000000,4.000000,1,1.00,NAND2_X1,0.733333,4.000000,58,59
350,NODE,n350,2,n344,n349,1,6.000000,6.000000,0.000000,6,1.00,AND2_X1,1.000000,0.000000,344,349
351,NODE,n351,2,n347,n350,1,7.000000,7.000000,0.000000,7,1.00,NAND2_X1,1.000000,0.000000,347,350
352,NODE,n352,2,n294,G60,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,60
353,NODE,n353,2,n293,n352,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,352
354,NODE,n354,2,G117,G49,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,61
355,NODE,n355,2,n293,n354,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,354
356,NODE,n356,2,n353,n355,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,353,355
357,NODE,n357,2,n294,G39,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,62
358,NODE,n358,2,G120,n357,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,357
359,NODE,n359,2,G117,G71,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,63
360,NODE,n360,2,G120,n359,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,359
361,NODE,n361,2,n358,n360,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,358,360
362,NODE,n362,2,n356,n361,6,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,356,361
363,NODE,n363,2,n294,G56,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,64
364,NODE,n364,2,n293,n363,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,363
365,NODE,n365,2,n293,G117,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,38
366,NODE,n366,2,n364,n365,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,364,365
367,NODE,n367,2,n294,G35,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,65
368,NODE,n368,2,G120,n367,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,367
369,NODE,n369,2,G117,G67,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,66
370,NODE,n370,2,G120,n369,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,369
371,NODE,n371,2,n368,n370,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,368,370
372,NODE,n372,2,n366,n371,4,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,366,371
373,NODE,n373,2,n294,G55,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,67
374,NODE,n374,2,n293,n373,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,293,373
375,NODE,n375,2,G117,G45,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,68
376,NODE,n376,2,n293,n375,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,293,375
377,NODE,n377,2,n374,n376,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,374,376
378,NODE,n378,2,n294,G34,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,69
379,NODE,n379,2,G120,n378,1,3.000000,3.000000,0.000000,3,1.00,NAND2_X1,1.000000,0.000000,37,378
380,NODE,n380,2,G117,G66,1,1.000000,2.000000,1.000000,1,1.00,AND2_X1,0.933333,1.000000,38,70
381,NODE,n381,2,G120,n380,1,2.000000,3.000000,1.000000,2,1.00,NAND2_X1,0.933333,1.000000,37,380
382,NODE,n382,2,n379,n381,1,4.000000,4.000000,0.000000,4,1.00,AND2_X1,1.000000,0.000000,379,381
383,NODE,n383,2,n377,n382,4,5.000000,5.000000,0.000000,5,1.00,NAND2_X1,1.000000,0.000000,377,382
384,NODE,n384,2,n294,G54,1,2.000000,2.000000,0.000000,2,1.00,AND2_X1,1.000000,0.000000,294,71
