group,bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,alpha_low,alpha_mid,alpha_high,k,opt_low,opt_high,w_i,w_p,w_f,w_g,phyread_args,phyopt_args,log_file
C,c2670,C_s1_fast_base,PASS,454.59,10.00,391.82,10.00,16,44,60.0,25.0,25.0,15,0,24,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c2670/c2670_C_s1_fast_base.log
C,c2670,C_s1_fast_balanced,PASS,454.59,10.00,391.55,10.00,14,50,60.0,0.0,50.0,14,0,29,0.30,0.50,0.70,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c2670/c2670_C_s1_fast_balanced.log
C,c2670,C_s1_fast_struct,PASS,454.59,10.00,391.55,10.00,14,50,60.0,0.0,50.0,14,0,29,0.15,0.45,0.75,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c2670/c2670_C_s1_fast_struct.log
C,c3540,C_s1_fast_base,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c3540/c3540_C_s1_fast_base.log
C,c3540,C_s1_fast_balanced,PASS,628.56,18.00,572.43,18.00,17,44,60.0,0.0,20.0,13,0,24,0.30,0.50,0.70,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c3540/c3540_C_s1_fast_balanced.log
C,c3540,C_s1_fast_struct,PASS,628.56,18.00,574.56,18.00,16,43,60.0,50.0,40.0,12,0,27,0.15,0.45,0.75,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c3540/c3540_C_s1_fast_struct.log
C,c7552,C_s1_fast_base,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,24,5,31,0.20,0.50,0.80,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c7552/c7552_C_s1_fast_base.log
C,c7552,C_s1_fast_balanced,PASS,1061.34,13.00,1024.37,13.00,13,66,40.0,0.0,0.0,24,5,31,0.30,0.50,0.70,30,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.30 -M 0.50 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s1/C/c7552/c7552_C_s1_fast_balanced.log
C,c2670,C_s2_quality_base,PASS,454.59,10.00,395.81,10.00,18,56,60.0,33.3,0.0,19,0,27,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s2/C/c2670/c2670_C_s2_quality_base.log
C,c2670,C_s2_quality_struct,PASS,454.59,10.00,393.68,10.00,18,66,60.0,0.0,25.0,17,1,36,0.15,0.45,0.75,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1_C_s2/C/c2670/c2670_C_s2_quality_struct.log
