group,bench,case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,alpha_low,alpha_mid,alpha_high,k,opt_low,opt_high,w_i,w_p,w_f,w_g,phyread_args,phyopt_args,log_file
A,ex204,A_base,PASS,9182.59,17.00,9050.92,17.00,37,70,40.0,20.0,80.0,3,0,31,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex204/ex204_A_base.log
A,ex204,A_struct_1,PASS,9182.59,17.00,9052.25,17.00,38,72,40.0,0.0,80.0,4,0,30,0.15,0.45,0.75,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex204/ex204_A_struct_1.log
A,ex204,A_struct_2,PASS,9182.59,17.00,9052.25,17.00,38,72,40.0,0.0,80.0,4,0,30,0.10,0.40,0.70,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex204/ex204_A_struct_2.log
A,ex204,A_struct_wide,PASS,9182.59,17.00,9056.50,17.00,39,68,40.0,20.0,80.0,2,0,32,0.10,0.50,0.90,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex204/ex204_A_struct_wide.log
A,ex206,A_base,PASS,63567.08,24.00,63277.14,24.00,38,81,40.0,40.0,0.0,0,0,36,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex206/ex206_A_base.log
A,ex206,A_struct_1,PASS,63567.08,24.00,63277.14,24.00,38,81,40.0,40.0,0.0,0,0,36,0.15,0.45,0.75,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex206/ex206_A_struct_1.log
A,ex206,A_struct_2,PASS,63567.08,24.00,63277.14,24.00,38,81,40.0,40.0,0.0,0,0,36,0.10,0.40,0.70,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.10 -M 0.40 -H 0.70 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex206/ex206_A_struct_2.log
A,ex206,A_struct_wide,PASS,63567.08,24.00,63277.14,24.00,38,81,40.0,40.0,0.0,0,0,36,0.10,0.50,0.90,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.10 -M 0.50 -H 0.90 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex206/ex206_A_struct_wide.log
A,ex216,A_base,PASS,1590.15,12.00,1469.12,12.00,49,46,60.0,20.0,60.0,0,0,25,0.20,0.50,0.80,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.20 -M 0.50 -H 0.80 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex216/ex216_A_base.log
A,ex216,A_struct_1,PASS,1590.15,12.00,1463.00,12.00,51,47,60.0,20.0,60.0,0,0,24,0.15,0.45,0.75,40,0.25,0.90,0.50,0.40,0.05,0.05,"-L 0.15 -M 0.45 -H 0.75 -i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/grouped_opt_stage1/results/run_stage1_strategy_r1/A/ex216/ex216_A_struct_1.log
