bench,k_case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,k_value,phyread_args,phyopt_args,log_file
c17,k20,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c17/c17_k20.log
c17,k30,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c17/c17_k30.log
c17,k40,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c17/c17_k40.log
c17,k60,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c17/c17_k60.log
c432,k20,PASS,138.85,14.00,103.21,14.00,11,45,40.0,0.0,66.7,9,6,16,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c432/c432_k20.log
c432,k30,PASS,138.85,14.00,97.62,14.00,16,63,40.0,20.0,25.0,10,5,27,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c432/c432_k30.log
c432,k40,PASS,138.85,14.00,98.42,13.00,17,79,40.0,40.0,40.0,24,10,20,40,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c432/c432_k40.log
c432,k60,PASS,138.85,14.00,94.70,13.00,17,105,40.0,20.0,50.0,34,11,31,60,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 60 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c432/c432_k60.log
c499,k20,PASS,250.57,9.00,250.04,9.00,9,51,80.0,0.0,33.3,7,0,0,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 20 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c499/c499_k20.log
c499,k30,PASS,250.57,9.00,250.04,9.00,11,79,80.0,0.0,33.3,11,0,0,30,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 30 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/k_scan_winvpair_11cxx/results/run_20260401_151836/c499/c499_k30.log
