phase,bench,cl,ch,al,am,ah,wi,wp,wf,wg,area,delay,acc,rej,nodes
P1,adder,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,799.2,3873.34,16,64,1000
P1,adder,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,756.7,3863.51,10,66,1006
P1,adder,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,756.7,3863.51,10,66,1006
P1,adder,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,756.1,3862.49,11,78,1004
P1,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,762.7,3873.34,15,80,1003
P1,adder,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,752.1,3865.07,5,68,1018
P1,adder,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,790.2,3873.34,18,84,989
P1,adder,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,784.3,3863.51,23,105,979
P1,adder,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,793.6,3873.34,16,67,991
P1,adder,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,744.7,3863.32,12,58,1003
P1,adder,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,744.7,3863.32,12,58,1003
P1,adder,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,755.6,3862.49,14,93,1005
P1,adder,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,792.0,3873.34,18,70,989
P1,adder,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,752.1,3865.07,5,72,1018
P1,adder,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,790.2,3873.34,17,81,988
P1,adder,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,795.0,3873.34,15,74,992
P1,bar,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,2090.0,237.72,5,15,2956
P1,bar,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,2090.0,237.72,5,15,2956
P1,bar,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,2090.0,237.72,5,15,2956
P1,bar,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P1,bar,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
