bench,group,strategy,n_samples,rejected_total,runtime_pct,area_pct,delay_pct,reason
c1355,D,stable_baseline,1,63,3.1746,0.0000,0.0000,area_low_runtime_low
c17,U_small,observe_only,2,4,100.0000,0.0000,0.0000,reject_count_below_min
c1908,B,efficiency_first,1,72,47.2222,25.0000,4.1667,runtime_high_area_low
c2670,C,hybrid,1,56,33.9286,48.2143,0.0000,area_high_runtime_high
c3540,C,hybrid,1,61,21.3115,67.2131,0.0000,area_high_runtime_high
c432,B,efficiency_first,1,79,30.3797,25.3165,12.6582,runtime_high_area_low
c499,B,efficiency_first,2,216,24.0741,0.0000,0.0000,runtime_high_area_low
c5315,B,efficiency_first,1,77,93.5065,3.8961,0.0000,runtime_high_area_low
c6288,U_mid,observe_or_light_hybrid,1,93,7.5269,43.0108,1.0753,mixed_mid_zone
c7552,C,hybrid,1,81,37.0370,43.2099,8.6420,area_high_runtime_high
c880,C,hybrid,2,136,38.2353,47.0588,7.3529,area_high_runtime_high
ex200,D,stable_baseline,1,67,4.4776,26.8657,0.0000,area_low_runtime_low
ex201,U_mid,observe_or_light_hybrid,1,44,9.0909,38.6364,0.0000,mixed_mid_zone
ex202,D,stable_baseline,1,69,5.7971,33.3333,0.0000,area_low_runtime_low
ex203,D,stable_baseline,1,73,2.7397,30.1370,0.0000,area_low_runtime_low
ex204,A,quality_first,1,70,4.2857,44.2857,0.0000,area_high_runtime_low
ex205,U_mid,observe_or_light_hybrid,1,85,9.4118,31.7647,0.0000,mixed_mid_zone
ex206,A,quality_first,1,81,0.0000,44.4444,0.0000,area_high_runtime_low
ex207,U_mid,observe_or_light_hybrid,1,78,0.0000,41.0256,0.0000,mixed_mid_zone
ex208,U_mid,observe_or_light_hybrid,1,65,6.1538,35.3846,0.0000,mixed_mid_zone
ex209,U_mid,observe_or_light_hybrid,1,62,1.6129,38.7097,0.0000,mixed_mid_zone
ex210,B,efficiency_first,1,67,11.9403,29.8507,0.0000,runtime_high_area_low
ex211,U_mid,observe_or_light_hybrid,1,51,11.7647,37.2549,0.0000,mixed_mid_zone
ex212,U_small,observe_only,1,29,24.1379,41.3793,0.0000,reject_count_below_min
ex214,U_mid,observe_or_light_hybrid,1,56,7.1429,28.5714,0.0000,mixed_mid_zone
ex216,A,quality_first,1,46,0.0000,54.3478,0.0000,area_high_runtime_low
ex220,U_mid,observe_or_light_hybrid,1,74,8.1081,55.4054,0.0000,mixed_mid_zone
ex226,A,quality_first,1,85,0.0000,49.4118,0.0000,area_high_runtime_low
ex227,U_mid,observe_or_light_hybrid,1,77,3.8961,36.3636,0.0000,mixed_mid_zone
ex231,U_mid,observe_or_light_hybrid,1,37,8.1081,48.6486,0.0000,mixed_mid_zone
ex242,U_mid,observe_or_light_hybrid,1,71,7.0423,35.2113,0.0000,mixed_mid_zone
ex244,D,stable_baseline,1,56,0.0000,32.1429,0.0000,area_low_runtime_low
ex249,U_mid,observe_or_light_hybrid,1,50,0.0000,38.0000,0.0000,mixed_mid_zone
ex251,A,quality_first,1,67,1.4925,41.7910,0.0000,area_high_runtime_low
ex255,B,efficiency_first,1,62,17.7419,32.2581,0.0000,runtime_high_area_low
ex258,B,efficiency_first,1,70,17.1429,15.7143,0.0000,runtime_high_area_low
ex260,U_mid,observe_or_light_hybrid,1,52,7.6923,32.6923,0.0000,mixed_mid_zone
ex262,U_mid,observe_or_light_hybrid,1,71,8.4507,35.2113,0.0000,mixed_mid_zone
ex265,B,efficiency_first,1,58,27.5862,17.2414,0.0000,runtime_high_area_low
ex266,U_mid,observe_or_light_hybrid,1,65,10.7692,30.7692,3.0769,mixed_mid_zone
ex273,U_mid,observe_or_light_hybrid,1,84,11.9048,39.2857,0.0000,mixed_mid_zone
ex274,A,quality_first,1,73,0.0000,49.3151,0.0000,area_high_runtime_low
ex275,B,efficiency_first,1,63,36.5079,12.6984,1.5873,runtime_high_area_low
ex276,U_mid,observe_or_light_hybrid,1,33,9.0909,48.4848,0.0000,mixed_mid_zone
ex281,D,stable_baseline,1,60,5.0000,33.3333,0.0000,area_low_runtime_low
ex299,U_mid,observe_or_light_hybrid,1,72,0.0000,36.1111,0.0000,mixed_mid_zone
