bench,n_samples,rejected_total,reject_runtime,reject_area,reject_delay,runtime_pct,area_pct,delay_pct
c1355,1,63,2,0,0,3.1746,0.0000,0.0000
c17,2,4,4,0,0,100.0000,0.0000,0.0000
c1908,1,72,34,18,3,47.2222,25.0000,4.1667
c2670,1,56,19,27,0,33.9286,48.2143,0.0000
c3540,1,61,13,41,0,21.3115,67.2131,0.0000
c432,1,79,24,20,10,30.3797,25.3165,12.6582
c499,2,216,52,0,0,24.0741,0.0000,0.0000
c5315,1,77,72,3,0,93.5065,3.8961,0.0000
c6288,1,93,7,40,1,7.5269,43.0108,1.0753
c7552,1,81,30,35,7,37.0370,43.2099,8.6420
c880,2,136,52,64,10,38.2353,47.0588,7.3529
ex200,1,67,3,18,0,4.4776,26.8657,0.0000
ex201,1,44,4,17,0,9.0909,38.6364,0.0000
ex202,1,69,4,23,0,5.7971,33.3333,0.0000
ex203,1,73,2,22,0,2.7397,30.1370,0.0000
ex204,1,70,3,31,0,4.2857,44.2857,0.0000
ex205,1,85,8,27,0,9.4118,31.7647,0.0000
ex206,1,81,0,36,0,0.0000,44.4444,0.0000
ex207,1,78,0,32,0,0.0000,41.0256,0.0000
ex208,1,65,4,23,0,6.1538,35.3846,0.0000
ex209,1,62,1,24,0,1.6129,38.7097,0.0000
ex210,1,67,8,20,0,11.9403,29.8507,0.0000
ex211,1,51,6,19,0,11.7647,37.2549,0.0000
ex212,1,29,7,12,0,24.1379,41.3793,0.0000
ex214,1,56,4,16,0,7.1429,28.5714,0.0000
ex216,1,46,0,25,0,0.0000,54.3478,0.0000
ex220,1,74,6,41,0,8.1081,55.4054,0.0000
ex226,1,85,0,42,0,0.0000,49.4118,0.0000
ex227,1,77,3,28,0,3.8961,36.3636,0.0000
ex231,1,37,3,18,0,8.1081,48.6486,0.0000
ex242,1,71,5,25,0,7.0423,35.2113,0.0000
ex244,1,56,0,18,0,0.0000,32.1429,0.0000
ex249,1,50,0,19,0,0.0000,38.0000,0.0000
ex251,1,67,1,28,0,1.4925,41.7910,0.0000
ex255,1,62,11,20,0,17.7419,32.2581,0.0000
ex258,1,70,12,11,0,17.1429,15.7143,0.0000
ex260,1,52,4,17,0,7.6923,32.6923,0.0000
ex262,1,71,6,25,0,8.4507,35.2113,0.0000
ex265,1,58,16,10,0,27.5862,17.2414,0.0000
ex266,1,65,7,20,2,10.7692,30.7692,3.0769
ex273,1,84,10,33,0,11.9048,39.2857,0.0000
ex274,1,73,0,36,0,0.0000,49.3151,0.0000
ex275,1,63,23,8,1,36.5079,12.6984,1.5873
ex276,1,33,3,16,0,9.0909,48.4848,0.0000
ex281,1,60,3,20,0,5.0000,33.3333,0.0000
ex299,1,72,0,26,0,0.0000,36.1111,0.0000
