bench,w_case,status,before_area,before_delay,after_area,after_delay,accepted,rejected,topk_hit_high,topk_hit_low,topk_hit_mid,reject_runtime,reject_delay,reject_area,phyread_args,phyopt_args,log_file
c17,w_invpair_base,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_base.log
c17,w_invpair_A,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_A.log
c17,w_invpair_B,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_B.log
c17,w_invpair_C,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_C.log
c17,w_invpair_D,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_D.log
c17,w_invpair_E,PASS,5.05,2.00,5.05,2.00,2,2,50.0,0.0,0.0,2,0,0,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c17/c17_w_invpair_E.log
c432,w_invpair_base,PASS,138.85,14.00,98.42,13.00,17,79,40.0,40.0,40.0,24,10,20,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_base.log
c432,w_invpair_A,PASS,138.85,14.00,104.80,13.00,11,89,40.0,20.0,0.0,13,18,36,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_A.log
c432,w_invpair_B,PASS,138.85,14.00,98.95,13.00,17,79,40.0,40.0,20.0,24,12,16,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_B.log
c432,w_invpair_C,PASS,138.85,14.00,98.42,13.00,17,79,40.0,40.0,40.0,24,10,20,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_C.log
c432,w_invpair_D,PASS,138.85,14.00,104.80,13.00,11,89,40.0,20.0,0.0,13,18,36,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_D.log
c432,w_invpair_E,PASS,138.85,14.00,98.42,13.00,17,79,40.0,40.0,40.0,24,10,20,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c432/c432_w_invpair_E.log
c499,w_invpair_base,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_base.log
c499,w_invpair_A,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.48 -p 0.45 -f 0.04 -g 0.03","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_A.log
c499,w_invpair_B,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.55 -p 0.35 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_B.log
c499,w_invpair_C,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.52 -p 0.40 -f 0.03 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_C.log
c499,w_invpair_D,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.47 -p 0.43 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_D.log
c499,w_invpair_E,PASS,250.57,9.00,250.04,9.00,12,108,80.0,0.0,33.3,26,0,0,"-i 0.53 -p 0.37 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c499/c499_w_invpair_E.log
c880,w_invpair_base,PASS,210.67,12.00,195.51,12.00,18,68,25.0,0.0,0.0,26,5,32,"-i 0.50 -p 0.40 -f 0.05 -g 0.05","-k 40 -L 0.25 -H 0.90",/mnt/d/My_abc_work/abc/my_work/w_tune_k40_11cxx/results/run_20260401_160044/c880/c880_w_invpair_base.log
